trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
159,False,"{'a': 0.9, 'e': 0.3285717657253846}",20,12,16.603639377792014,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.9, 'e': 0.32627979462303947}",25,4,-69.276454747705,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 2}",1
161,False,"{'a': 0.9, 'e': 0.32400381129591416}",25,16,2.0793690851067756,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
162,False,"{'a': 0.9, 'e': 0.32174370422037013}",20,7,-17.206741670027245,"{0: 10, 1: 1, 2: 1, 3: 1, 4: 0}",1
163,False,"{'a': 0.9, 'e': 0.31949936265070866}",20,0,-25.85163900560095,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
164,False,"{'a': 0.9, 'e': 0.3172706766137436}",25,3,-0.3974013587719394,"{0: 19, 1: 0, 2: 3, 3: 0, 4: 0}",1
165,False,"{'a': 0.9, 'e': 0.3150575369034133}",30,0,-74.56205178514753,"{0: 26, 1: 1, 2: 0, 3: 1, 4: 2}",0
166,False,"{'a': 0.9, 'e': 0.3128598350754292}",25,0,-34.129584159585555,"{0: 20, 1: 1, 2: 2, 3: 2, 4: 0}",0
167,False,"{'a': 0.9, 'e': 0.31067746344196184}",20,0,-32.24735205088832,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
168,False,"{'a': 0.9, 'e': 0.3085103150663647}",20,8,9.514940224538204,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.9, 'e': 0.30635828375793367}",20,0,-70.92465117144293,"{0: 16, 1: 0, 2: 1, 3: 2, 4: 1}",0
170,False,"{'a': 0.9, 'e': 0.3042212640667041}",30,0,-4.45124736270041,"{0: 25, 1: 2, 2: 3, 3: 0, 4: 0}",0
171,False,"{'a': 0.9, 'e': 0.3020991512782834}",30,18,7.420719387108154,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
172,False,"{'a': 0.9, 'e': 0.2999918414087205}",25,4,8.8903937269234,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 0}",1
173,False,"{'a': 0.9, 'e': 0.2978992311994101}",25,9,27.447056032119086,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.9, 'e': 0.2958212181120332}",25,0,-28.28118678456484,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
175,False,"{'a': 0.9, 'e': 0.29375770032353277}",25,17,1.2604557253259465,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
176,False,"{'a': 0.9, 'e': 0.2917085767211244}",20,3,-30.30472404581272,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 0}",1
177,False,"{'a': 0.9, 'e': 0.2896737468973414}",35,8,-79.96941675130302,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 2}",1
